state,district,block,panchayat,sa_start_date,sa_end_date,gram_sabha_date,public_hearing_date,sa_period_from,sa_period_to,wage_exp,material_exp,total_exp,wage_given,material_given,total_given,total_works,total_households,works_verified,households_verified,gram_sabha_participants,printing_expense,videography_expense,tea_expense,vrp_training_expense,vrp_travel_expense,photocopying_expense,other_expense,vrp_honorarium_expense,stationary_expense,publicity_expense,mic_expense,photography_expense,shamiana_expense,total_expense,job_cards_with_people,job_cards_updated,job_cards_renewed,demand_registration_process,unmet_demand,payment_agency_problems,source_file,original_word,transliteration
RAJASTHAN,BANSWARA,SAJJANGARH,खुन्दनी हाला,11/09/2023,16/09/2023,21/09/2023,21/09/2023,01/04/2022,31/03/2023,9778645.0,3537630.16,13316275.16,0.0,0.0,0.0,296.0,855.0,296.0,855.0,120.0,0.0,0.0,0.0,0.0,50.0,0.0,150.0,50.0,50.0,0.0,0.0,0.0,0.0,300.0,Greater than 75%,Yes,Yes,Mostly,"Yes, Some Demand",No,27_2728_2728007_2728007279_2022-2023_9_21_2023_12_00_00_AM_0.html.gz,खुन्दनी हाला,khundani hala
RAJASTHAN,ALWAR,NEEMRANA,रोडवाल,09/08/2024,14/08/2024,16/08/2024,16/08/2024,01/04/2023,31/03/2024,931052.0,300323.0,1231375.0,0.0,0.0,0.0,13.0,67.0,13.0,67.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Between 50% and 75%,Yes,Yes,Some,"Yes, Some Demand",No,27_2706_2706008_2706008272_2023-2024_8_16_2024_12_00_00_AM_0.html.gz,रोडवाल,rodwal
RAJASTHAN,BARAN,CHHABARA,कोटडापार,14/09/2024,19/09/2024,20/09/2024,20/09/2024,01/04/2023,31/03/2024,12419747.0,5049689.14,17469436.14,0.0,0.0,0.0,117.0,1033.0,11.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,Between 50% and 75%,Yes,Yes,Mostly,"Yes, Some Demand",No,27_2731_2731006_2731006164_2023-2024_9_20_2024_12_00_00_AM_0.html.gz,कोटडापार,kotdapar
RAJASTHAN,BARMER,BARMER,बलाऊ,01/03/2020,05/03/2020,05/03/2020,05/03/2020,01/04/2019,30/09/2019,6009152.0,1610249.99,7619401.99,20.0,10.0,30.0,178.0,845.0,42.0,65.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,1125.0,Greater than 75%,Yes,Yes,Yes,"No, people get work when they want it",No,27_2707_2717002_2717002120_2019-2020_3_5_2020_12_00_00_AM_0.html.gz,बलाऊ,balau
RAJASTHAN,AJMER,BHINAY,कनाईकला,06/01/2023,12/01/2023,13/01/2023,13/01/2023,01/04/2020,31/03/2022,28486874.0,3502156.61,31989030.61,28486874.0,3502156.61,31989030.61,330.0,2591.0,330.0,2591.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,Greater than 75%,Yes,Yes,Mostly,"Yes, Some Demand",No,27_2721_2721002_2721002044_2021-2022_1_13_2023_12_00_00_AM_0.html.gz,कनाईकला,kanaikala
RAJASTHAN,BARAN,ANTA,काचरी,17/08/2023,22/08/2023,23/08/2023,23/08/2023,01/04/2022,31/03/2023,6665644.0,69019.0,6734663.0,6389452.5,64289.0,6453741.5,96.0,633.0,92.0,605.0,125.0,100.0,0.0,150.0,0.0,150.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,Greater than 75%,Yes,Yes,Mostly,"Yes, Some Demand",No,27_2731_2731001_2731001013_2022-2023_8_23_2023_12_00_00_AM_0.html.gz,काचरी,kachari
RAJASTHAN,BARMER,SIWANA,मवड़ी,01/09/2019,05/09/2019,05/09/2019,05/09/2019,01/10/2018,31/03/2019,2046854.0,1580923.95,3627777.95,0.0,0.0,0.0,36.0,338.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greater than 75%,Yes,Yes,Yes,"No, people get work when they want it",No,27_2707_2717019_2717008356_2018-2019_9_5_2019_12_00_00_AM_0.html.gz,मवड़ी,mavadi
RAJASTHAN,ALWAR,BANSUR,भूपसेडा,16/02/2020,19/02/2020,20/02/2020,20/02/2020,01/04/2019,30/09/2019,855298.0,4500.0,859798.0,0.0,0.0,0.0,11.0,105.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,4800.0,Greater than 75%,Yes,Yes,Yes,"Yes, Some Demand",No,27_2706_2706001_2706001009_2019-2020_2_20_2020_12_00_00_AM_0.html.gz,भूपसेडा,bhupseda
RAJASTHAN,ALWAR,RAJGARH,पुराना राजगढ,20/08/2024,25/08/2024,26/08/2024,26/08/2024,01/04/2023,31/03/2024,2666314.0,0.0,2666314.0,0.0,0.0,0.0,13.0,491.0,13.0,400.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,450.0,Between 50% and 75%,No,Yes,Mostly,"Yes, Huge Demand",No,27_2706_2706009_2706009295_2023-2024_8_26_2024_12_00_00_AM_0.html.gz,पुराना राजगढ,purana rajgadh
RAJASTHAN,BARMER,BARMER,जूना पतरासर,19/01/2023,24/01/2023,25/01/2023,25/01/2023,01/04/2020,31/03/2022,28388694.0,8573535.67,36962229.67,23719991.0,8573535.0,32293526.0,513.0,1923.0,405.0,1225.0,275.0,200.0,200.0,500.0,0.0,0.0,100.0,0.0,16000.0,100.0,0.0,0.0,0.0,0.0,17100.0,Greater than 75%,Yes,Yes,Yes,"No, people get work when they want it",No,27_2717_2717002_2717002111_2021-2022_1_25_2023_12_00_00_AM_0.html.gz,जूना पतरासर,juna patarasar
