hindi,gsheet_goog_translate,append_prompt,gsheet_prompt_translate_with_prompt,eng_prompt_translate,chat_gpt_append,chat_gpt_pre,chat_gpt_translit_split_a,chat_gpt_translit_split_b,chat_gpt_translit_split_c,chat_gpt_fin
अऊ,Ou,rajasthan village name: अऊ,Rajasthan Village Name: O,O,अऊ - au,अऊ , au,,,au
अकतासा,Anktasa,rajasthan village name: अकतासा,Rajasthan Village Name: Anaksa,Anaksa,अकतासा - akatasa,अकतासा , akatasa,,,akatasa
अकदड़ा,Akdada,rajasthan village name: अकदड़ा,Rajasthan Village Name: Akdada,Akdada,अकदड़ा - akdara,अकदड़ा , akdara,,,akdara
अकबरपुर,Akbarpur,rajasthan village name: अकबरपुर,Rajasthan Village Name: Akbarpur,Akbarpur,अकबरपुर - akbarpur,अकबरपुर , akbarpur,,,akbarpur
अकलीपुर,Akalipur,rajasthan village name: अकलीपुर,Rajasthan Village Name: Akalipur,Akalipur,अकलीपुर - akalipur,अकलीपुर , akalipur,,,akalipur
अकावद खुर्द,Akavad Khurd,rajasthan village name: अकावद खुर्द,Rajasthan Village Name: Akavad Khurd,Akavad Khurd,अकावद खुर्द - akavad khurd,अकावद खुर्द , akavad khurd,,,akavad khurd
अक्कासर,Akkasar,rajasthan village name: अक्कासर,Rajasthan Village Name: Akkasar,Akkasar,अक्कासर - akkasar,अक्कासर , akkasar,,,akkasar
अक्षयगढ,Akshayagarh,rajasthan village name: अक्षयगढ,Rajasthan Village Name: Akshayagarh,Akshayagarh,अक्षयगढ - akshaygadh,अक्षयगढ , akshaygadh,,,akshaygadh
अखेगढ,Akhagarh,rajasthan village name: अखेगढ,Rajasthan Village Name: Akhagarh,Akhagarh,अखेगढ - akhegadh,अखेगढ , akhegadh,,,akhegadh
अखेपुरा,Akhapura,rajasthan village name: अखेपुरा,Rajasthan Village Name: Akhapura,Akhapura,अखेपुरा - akhepura,अखेपुरा , akhepura,,,akhepura
अखैपुरा,Akharapura,rajasthan village name: अखैपुरा,Rajasthan Village Name: Akhaipura,Akhaipura,अखैपुरा - akhaipura,अखैपुरा , akhaipura,,,akhaipura
अगवरी,August,rajasthan village name: अगवरी,Rajasthan Village Name: August,August,अगवरी - agvari,अगवरी , agvari,,,agvari
अगवाना खुर्द,Furious Khurd,rajasthan village name: अगवाना खुर्द,Rajasthan Village Name: Agwana Khurd,Agwana Khurd,अगवाना खुर्द - agwana khurd,अगवाना खुर्द , agwana khurd,,,agwana khurd
अंगारी,Angari,rajasthan village name: अंगारी,Rajasthan Village Name: Angari,Angari,अंगारी - angari,अंगारी , angari,,,angari
अग्गड,Aggad,rajasthan village name: अग्गड,Rajasthan Village Name: Aggad,Aggad,अग्गड - aggad,अग्गड , aggad,,,aggad
अघापुर,Aghapur,rajasthan village name: अघापुर,Rajasthan Village Name: Aghpur,Aghpur,अघापुर - aghapur,अघापुर , aghapur,,,aghapur
अचनारा,Achanara,rajasthan village name: अचनारा,Rajasthan Village Name: Achanara,Achanara,अचनारा - achnara,अचनारा , achnara,,,achnara
अचपुरा,Achpura,rajasthan village name: अचपुरा,Rajasthan Village Name: Achpura,Achpura,अचपुरा - achpura,अचपुरा , achpura,,,achpura
अचरोल,Achroll,rajasthan village name: अचरोल,Rajasthan Village Name: Achroll,Achroll,अचरोल - achrol,अचरोल , achrol,,,achrol
अचलपुर,Achalpur,rajasthan village name: अचलपुर,Rajasthan Village Name: Achalpur,Achalpur,अचलपुर - achalpur,अचलपुर , achalpur,,,achalpur
अचलपुरा,Achalpura,rajasthan village name: अचलपुरा,Rajasthan Village Name: Achalpura,Achalpura,अचलपुरा - achalpura,अचलपुरा , achalpura,,,achalpura
अचलावदा,Achlavada,rajasthan village name: अचलावदा,Rajasthan Village Name: Achlavada,Achlavada,अचलावदा - achalavada,अचलावदा , achalavada,,,achalavada
अजगरा,Ajgara,rajasthan village name: अजगरा,Rajasthan Village Name: Ajgara,Ajgara,अजगरा - ajgara,अजगरा , ajgara,,,ajgara
अजनावर,Ajanavar,rajasthan village name: अजनावर,Rajasthan Village Name: Ajnavar,Ajnavar,अजनावर - ajnavar,अजनावर , ajnavar,,,ajnavar
अजन‍ोटी,Strange,rajasthan village name: अजन‍ोटी,Rajasthan Village Name: Strange,Strange,अजन‍ोटी - ajnoti,अजन‍ोटी , ajnoti,,,ajnoti
अजबगढ,Ajabgarh,rajasthan village name: अजबगढ,Rajasthan Village Name: Ajabgarh,Ajabgarh,अजबगढ - ajabgadh,अजबगढ , ajabgadh,,,ajabgadh
अजबपुरा,Ajabpura,rajasthan village name: अजबपुरा,Rajasthan Village Name: Ajabpura,Ajabpura,अजबपुरा - ajabpura,अजबपुरा , ajabpura,,,ajabpura
अजयराजपुरा,Ajairajpura,rajasthan village name: अजयराजपुरा,Rajasthan Village Name: Ajayrajpura,Ajayrajpura,अजयराजपुरा - ajayrajpura,अजयराजपुरा , ajayrajpura,,,ajayrajpura
अजयसर,Ajaysar,rajasthan village name: अजयसर,Rajasthan Village Name: Ajaysar,Ajaysar,अजयसर - ajaysar,अजयसर , ajaysar,,,ajaysar
